Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,DE
SYNE2,170.829665,-0.329122075,0.150581954,0.044951135,0.10736025,FALSE
NOP53,1366.298774,-0.329112385,0.061969209,6.12E-09,1.59E-07,FALSE
MN1,145.4225408,-0.32838011,0.155858308,0.001249594,0.006207383,FALSE
BIRC6,162.2220842,-0.328376443,0.140166628,0.00400668,0.01611829,FALSE
ASB7,99.37564962,-0.328277566,0.1699456,0.019792091,0.057220121,FALSE
HSP90AA1,8350.210018,-0.32800054,0.07059629,1.52E-09,4.67E-08,FALSE
AFF1,288.5594307,-0.327411159,0.123088178,0.001574109,0.007522981,FALSE
SCHLAP1,1623.542523,-0.327263125,0.088534531,0.00068043,0.003679845,FALSE
HACD4,208.2017603,-0.32721508,0.106125918,2.31E-07,3.81E-06,FALSE
TUBA4A,204.1291928,-0.32704109,0.121551922,4.57E-12,2.42E-10,FALSE
DPY19L1,323.5105691,-0.326634746,0.096966983,0.00051317,0.002912022,FALSE
PAWR,991.5120744,-0.326548533,0.081744521,1.16E-05,0.000115081,FALSE
SNORD13,253.5865502,-0.326099701,0.209126598,0.013698698,0.042598385,FALSE
RNF150,274.3361976,-0.326077193,0.132807945,0.02302566,0.064159614,FALSE
TPST1,210.8436398,-0.324675255,0.102739816,0.00026184,0.001633917,FALSE
ZFHX4,365.3658451,-0.324400111,0.09706993,3.76E-05,0.000316403,FALSE
CLEC3B,130.3658156,-0.324373592,0.215640431,0.000578757,0.003221494,FALSE
ZFP90,112.6315903,-0.324332137,0.169758802,0.036865265,0.092079267,FALSE
TMEM98,926.6013325,-0.324286203,0.084074774,0.000143044,0.000993638,FALSE
TMEM39A,225.6145308,-0.324141354,0.12147003,0.004994716,0.019358416,FALSE
GPATCH11,87.06932812,-0.323801073,0.151960288,0.049068953,0.114929516,FALSE
PTMS,1423.181772,-0.323480022,0.098897804,5.37E-05,0.000426801,FALSE
JARID2,423.6746839,-0.323345245,0.099945148,0.001762827,0.008276504,FALSE
FAM210B,863.668573,-0.322576951,0.069807809,3.24E-11,1.41E-09,FALSE
